,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,value
250,Castagne,Leicester,DEF,14.2,57,270,818405,4.7,27,4.7
51,Konsa Ngoyo,Aston Villa,DEF,3.3,45,180,204999,4.7,21,4.7
46,Mings,Aston Villa,DEF,3.0,50,180,96476,4.4,22,4.4
248,Justin,Leicester,DEF,22.3,47,270,868690,3.6,17,3.6
27,Magalhães,Arsenal,DEF,13.2,51,180,697889,3.3,17,3.3
533,Saïss,Wolves,DEF,11.8,51,270,659239,3.1,16,3.1
179,Digne,Everton,DEF,15.3,61,270,571442,3.1,19,3.1
138,James,Chelsea,DEF,16.2,51,270,809690,3.1,16,3.1
180,Keane,Everton,DEF,4.3,50,270,197996,3.0,15,3.0
516,Masuaku,West Ham,DEF,0.4,45,179,13645,2.9,13,2.9
