,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,value
265,Sousa de Azevedo e Costa,Leeds,MID,9.7,56,245,683880,3.9,22,3.9
258,Klich,Leeds,MID,7.8,56,260,520369,3.8,21,3.8
157,Townsend,Crystal Palace,MID,3.0,60,270,185190,3.7,22,3.7
391,Hendrick,Newcastle,MID,4.6,50,253,351697,3.6,18,3.6
161,Zaha,Crystal Palace,MID,19.5,72,270,899171,3.3,24,3.3
453,Son,Spurs,MID,25.0,90,225,1039556,3.0,27,3.0
519,Bowen,West Ham,MID,1.0,63,257,21601,3.0,19,3.0
263,Harrison,Leeds,MID,2.6,55,270,222950,2.9,16,2.9
235,Praet,Leicester,MID,0.8,55,224,61175,2.9,16,2.9
38,Hourihane,Aston Villa,MID,0.2,60,137,6846,2.8,17,2.8
